product_title,product_size,product_min_price
Swiss Whole Milk 1 Gallon,1gal,3.59
Maola Whole Milk 1 Quart,1qt,2.89
Borden Whole Milk Half Gallon,64oz,3.79
100 Grand King Size 2.8oz,2.8oz,2.19
7 Select Fat Free Milk Half Gallon,1hgal,3.29
Alpenrose Whole Milk Pint,1pt,2.59
7 Select 2% Milk 14z,14oz,2.39
TruMoo Chocolate 1% Lowfat Milk Half Gallon,64oz,4.09
Edaleen 2% Reduced Fat Milk 1 Gallon,1gal,4.59
So Delicious Dipped Cashew Milk Bars Double Chocolate Delight 4 Count 2.3oz,4pk2.3oz,7.79
Reese's Pieces King Size 3oz,3oz,2.49
7 Select Whole Milk Quart,1qt,2.59
Prairie Farms 2% Milk 1 Gallon,1gal,4.99
Borden 1% Lowfat Milk Half Gallon,64oz,3.79
Maola 2% Milk Half Gallon,64oz,4.19
Reese's Crunchy Big Cup King Size 2.8oz,2.8oz,2.19
Borden 2% Reduced Fat Milk 1 Pint,1pt,2.19
Prairie Farms Whole Milk Half Gallon,64oz,3.99
Organic Valley Whole Milk Half Gallon,64oz,5.49
Shamrock Farms Chocolate Milk 1 Quart,1qt,3.89
Swiss Fat Free Milk 1 Gallon,1gal,3.85
Borden Dutch Chocolate Milk 1 Quart,1qt,3.19
Silk Pure Almond Vanilla Almond Milk Half Gallon,64oz,5.49
Edaleen 1% Lowfat Milk 1 Gallon,1gal,4.29
7 Select 2% Milk Half Gallon,1hgal,3.89
Prairie Farms Whole Milk Half Gallon,1hgal,4.29
Edaleen 2% Reduced Fat Milk Half Gallon,64oz,3.49
Reese's Minis King Size 2.5oz,2.5oz,2.49
Snickers Xtreme Share Size 3.59oz,3.59oz,2.19
Reese's PB Cup with Pieces 2.8oz,2.8oz,2.49
Borden Whole Milk 1 Quart,1qt,2.89
Turner's Whole Milk 1 Quart,1qt,3.09
7 Select 1% Milk Half Gallon,1hgal,3.29
Hershey's PayDay Snack Bites 2.5oz,2.5oz,0.99
Maola Whole Milk 1 Gallon,1gal,5.39
Reese's Sticks King Size 3oz,3oz,2.49
Reese's Outrageous King Size 2.95oz,2.95oz,2.49
Reese's Fast Break Bar 1.8oz,1.8oz,1.99
Reese's Mini Peanut Butter Cups 12oz,12oz,4.99
Reese's Big Cups King Size 2.8oz,2.8oz,2.49
7 Select Fat Free Milk 1 Gallon,1gal,3.99
7 Select Chocolate Whole Milk Quart,1qt,2.99
7 Select Whole Milk Half Gallon,1hgal,3.89
Horizon Organic 2% Reduced Fat Milk Half Gallon,64oz,6.49
Borden 1% Lowfat Milk 1 Gallon,1gal,4.89
Horizon Organic 2% Reduced Fat Milk Half Gallon,64oz,5.99
7 Select Whole Milk 14z,14oz,1.89
Kit Kat Big Kat King Size 3oz,3oz,2.49
Swiss 1% Reduced Fat Milk 1 Gallon,1gal,3.85
Edaleen 2% Reduced Fat Milk 1 Quart,1qt,2.89
Maola 2% Milk 1 Quart,1qt,2.89
Reese's Outrageous Stuffed Bar 1.48oz,1.48oz,1.99
Borden 2% Reduced Fat Milk Half Gallon,64oz,3.79
Borden 2% Reduced Fat Milk 1 Gallon,1gal,5.49
Kit Kat Big Kat Standard 1.5oz,1.5oz,1.99
Swiss 2% Reduced Fat Milk 1 Gallon,1gal,3.99
Borden 2% Reduced Fat Milk 1 Quart,1qt,2.89
Shamrock 2% Milk Half Gallon,64oz,3.69
Shamrock 2% Milk 1 Gallon,1gal,5.19
Reese's Crunchy Cookie Crispy King Size 2.68oz,2.68oz,2.19
Large Pizza - Pepperoni,1whole pizza,7.49
7-Select Mini Chocolate Donut 6 Count,6ct,1.89
Snicker's Ice Cream Pint,1pt,5.99
Starbucks Frappuccino Vanilla 13.7oz,13.7oz,3.69
